Minutes,Hour Began,Customers Affected,Latitude,Mean Elevation ,AvgAnnualPrecipitationIn,TempAvg,TempAvgHighF,TempAvgLowF,
0,9,54000,37.1841,2900,22.3,59.4,71.5,46.5,[0] 0
0,2,70000,38.4937,2000,29,54.3,67.5,42.6,[0] 0
0,13,53610,44.6243,1050,34.1,43.1,54,33.7,[0] 0
0,15,44000,37.1841,2900,22.3,59.4,71.5,46.5,[0] 0
0,16,78000,43.9336,3300,32.1,48.4,59.4,36.4,[0] 0
0,2,70000,31.4757,1700,28.6,64.8,78.1,53.5,[0] 0
0,14,84000,37.1841,2900,22.3,59.4,71.5,46.5,[0] 0
0,15,65000,39.055,350,45.2,54.2,65.4,45.4,[0] 0
0,7,65994,37.1841,2900,22.3,59.4,71.5,46.5,[0] 0
0,16,5600,40.2862,850,41.1,50.7,61.7,41.6,[0] 0
0,13,37991,31.0689,100,59.7,66.4,77.5,56.7,[0] 0
0,4,64930,34.8938,650,52.5,60.4,71.8,50.2,[0] 0
0,6,77933,31.0689,100,59.7,66.4,77.5,56.7,[0] 0
0,4,61413,39.8942,795,43.6,51.7,62.5,42.2,[0] 0
0,16,100000,37.5215,950,45.8,55.1,66.9,45.1,[0] 0
0,21,64951,34.8938,650,52.5,60.4,71.8,50.2,[0] 0
0,4,76300,47.3826,1700,43.2,48.3,57,37.6,[0] 0
0,9,66519,35.5557,700,50.8,59,70.5,48.6,[0] 0
0,15,55506,31.4757,1700,28.6,64.8,78.1,53.5,[0] 0
0,15,123361,40.2862,850,41.1,50.7,61.7,41.6,[0] 0
0,6,88000,37.5215,950,45.8,55.1,66.9,45.1,[0] 0
0,9,165000,47.3826,1700,43.2,48.3,57,37.6,[0] 0
0,4,169000,40.0417,600,40.7,51.8,62.7,42.6,[0] 0
0,15,2500,37.1841,2900,22.3,59.4,71.5,46.5,[0] 0
0,7,71654,33.9169,350,48.3,62.4,74.7,52,[0] 0
0,14,190000,40.0417,600,40.7,51.8,62.7,42.6,[0] 0
0,6,80000,42.2596,500,48.6,47.9,58.8,38.7,[0] 0
0,11,71012,40.2862,850,41.1,50.7,61.7,41.6,[0] 0
0,4,57000,44.6243,1050,34.1,43.1,54,33.7,[0] 0
0,10,95000,35.5557,700,50.8,59,70.5,48.6,[0] 0
